,word,values_
2391,clunker,"[ 1.9368e-01  2.6422e-01  3.2143e-01 -8.3812e-01 -3.8791e-01 -2.8153e-01
  4.9557e-01  1.7173e-01  5.7372e-01  6.1480e-01 -5.6403e-01  8.8265e-01
  1.0419e-01 -1.1236e-01  2.2604e-01  9.0561e-01  3.0766e-01  4.0608e-01
  6.7079e-01  4.4350e-01 -2.0052e-01  5.2014e-01 -1.3955e-02 -1.3571e-01
  6.7165e-01 -1.9487e-01 -3.0542e-01 -4.6727e-02 -6.9791e-01 -2.0859e-01
 -1.7975e-01 -7.0552e-02  1.1680e-01 -1.6694e-01  1.2206e-01  5.8324e-02
 -4.5976e-01 -8.8177e-01  2.3716e-01 -3.7334e-01  8.2984e-01 -2.1607e-01
  6.2639e-01  3.4433e-01 -7.2439e-02 -2.0271e-01  1.0467e-01 -1.1140e-01
 -2.8817e-01 -2.6739e-01 -2.0341e-01  2.0418e-01  4.6835e-02 -2.7470e-01
  1.7550e-01  5.7004e-01  1.6875e-01 -3.0100e-02  1.7012e-01 -2.7556e-01
  3.0161e-01 -3.0777e-01 -2.5611e-01  1.3274e-01 -3.1050e-01  2.0781e-01
  2.5017e-01 -8.1194e-01 -3.8957e-01 -5.6604e-01 -1.1840e-01 -7.6473e-01
 -1.9658e-01 -1.6535e-01 -6.1786e-01  3.4936e-01  2.7535e-01 -1.8443e-01
 -5.8120e-01 -2.3498e-01  3.6322e-01  1.1257e-02  4.9656e-01 -1.8767e-01
 -7.1732e-04  4.9893e-01 -2.1934e-01 -4.0698e-01 -9.4302e-01 -4.7882e-02
 -1.6777e-01  6.6404e-01  7.9442e-02 -2.8206e-01  2.4794e-01 -6.9530e-01
  3.9362e-01  3.9077e-01  1.1184e-01  6.5297e-02]"
2392,bobic,"[ 0.69677    0.22059    0.40961   -0.73417   -0.56452    0.20543
  0.18829   -0.53401   -0.070541   0.65729    0.65736   -0.42353
 -0.45158    0.40194    0.57512    0.92829    0.31257    0.14645
 -0.60421   -0.10733   -0.2582     1.1596    -0.018721   0.20954
 -0.20686    0.16762   -0.06721   -0.077053  -0.74078    0.014085
 -0.21831    0.63731   -0.69415   -0.093185   0.09927    0.19253
  0.56249   -0.49378   -0.43787    0.23609    0.078787   0.44236
  0.078041   0.94304   -0.30047    0.095916  -0.041965   0.14426
  0.55542    1.0983     0.46222   -0.4706    -0.26854   -0.062929
 -0.10283    0.13202   -0.41325    0.47196   -1.0891     0.18575
 -0.44589   -0.11217   -0.17626    1.33      -0.51999    0.0053542
 -0.21768    0.024423  -0.45923   -0.013642   0.010205   0.20713
  0.033632  -0.25481    0.35292    0.57372    0.19366   -0.11987
  0.05171   -0.21946    0.3817     0.53942   -0.54476    0.25315
  0.45968    0.18852    0.50092    0.66394   -0.8688     0.06749
 -0.38251    0.4727    -0.53525   -0.047848  -0.10192   -0.34933
  2.1047    -0.34242   -0.16874    0.051292 ]"
2393,20-footer,"[-0.14046   -0.44473    0.27254    0.1691     0.70889   -0.097509
  0.58453   -0.29947   -0.0097766  0.39718    0.53288    0.6322
 -0.35259   -0.22318    0.84747    0.47108   -0.84243    0.10261
 -0.59429   -0.3169    -0.64824    0.52041   -0.66007    0.51325
  1.2608    -0.17988   -1.2976     0.51673   -0.12292   -0.3802
 -1.1278    -0.023381   0.94788   -0.54963   -0.16187    0.8907
 -0.53475    0.74983    0.39231    0.64151    0.30994    0.42767
 -0.082786   0.72047   -0.23389   -0.3739    -0.31935    0.60395
 -0.22435    0.24293   -0.53674    0.46586    0.56649   -0.048008
 -0.16875   -0.076086   0.39009   -0.47131    0.21768    0.66646
 -0.15405   -0.13057    0.011721   1.3168    -1.0319    -0.66412
 -0.14493    0.60185   -0.78611   -0.71398   -0.44676    0.8252
  0.5752     0.74345    0.080216   0.35939   -0.022846   0.099168
  1.0521     0.34284    0.15746   -0.14057   -0.20873   -0.1194
  0.2637    -0.2688     1.0917     0.48131   -0.76216    0.24031
  0.24377   -0.06321   -0.54637   -0.071167  -0.30367   -0.31954
  0.77697   -0.33522   -0.14289    0.21423  ]"
2394,nsubheds,"[-0.8613     0.77712    0.1645    -0.23834   -0.33461    0.25348
  0.23073   -0.29976    0.18097   -0.73153    0.15057    0.062978
 -0.50037   -0.42481   -1.009      0.48131   -0.74092   -0.30796
  0.039901   0.64545   -0.24963    0.98304   -0.61465    0.63749
  0.28256    0.44176   -0.49119    0.2843    -0.088063   0.19261
  0.080283  -0.31098   -0.44075    0.31326   -0.052579   0.80782
 -0.027535   0.047656   0.67474    0.044082   0.85666    0.10074
  0.22117    0.17745   -0.77081    0.38012    0.24493   -0.24171
 -0.0031089  0.18238    0.16797    0.18096    0.22645    0.032092
 -0.0756     0.43774    0.54411    0.12222   -0.074985   0.63562
 -1.4146     0.6879    -0.010328  -0.38547    0.29621   -0.008556
 -0.038977  -0.2927    -0.21782    0.94377   -0.13714    0.50138
  0.33024   -0.22258    0.10066   -0.53095    0.10183   -0.13522
  0.62541   -0.49685    0.12859   -0.97104   -0.51498   -0.62501
  0.4382     0.29877    0.16473   -0.8413    -0.50797    0.50718
 -0.91396    0.94866   -0.77774    0.43324    0.40405   -0.58841
  0.7125     0.67602   -0.67059    1.0165   ]"
2395,memoriam,"[-0.046885   0.21013   -0.052531   0.18802    0.16174    0.19184
 -0.17455    0.41691   -0.51408   -0.1535    -0.30045   -0.22818
 -0.59189   -0.2727    -0.0020051  0.60304    0.34927   -0.083296
  0.24157   -0.085726   0.19145   -0.031597  -0.30969    0.5254
  0.39563    0.30211   -0.050648   0.80801    0.45719   -0.01086
  0.15012   -0.53403    0.40693   -0.12862   -0.3944     0.11599
 -0.024833   0.21736   -0.2727    -0.32901    0.83618    0.6068
  0.1439     0.25094   -0.46262   -0.52967   -0.2052    -0.26106
 -0.52289    0.25722   -0.48919    0.35519    0.74675   -0.29457
 -0.58939    0.36063    0.42952   -0.28289   -0.59451   -0.56935
 -0.68559    0.3442    -0.1273     0.048728   0.14347   -0.67206
  0.11965   -0.2757    -0.092682  -0.54466    0.11047   -0.08016
  0.19191   -0.037982  -0.15333    0.33712    1.0112     0.23528
  0.14893   -0.61089   -0.44803    0.021245  -0.19028   -0.0037659
 -0.047106   0.56114   -0.36853   -0.82266   -0.35491   -0.016312
  0.12897    0.76754    0.57343    0.4073     1.13       0.383
  0.93683    0.069575  -0.71937    0.085113 ]"
2396,hieroglyphics,"[ 0.20321  -0.2476    0.22144  -0.26275   0.38914   0.1246   -0.27378
 -0.7277    0.19691   0.071913 -0.073065 -0.13065   0.90035  -0.085465
 -0.41594   0.33629   0.12384  -0.32305   0.31548  -0.15281  -0.48897
 -0.099615 -0.24193  -0.064869  0.74505  -0.4539    0.28838   0.20981
  0.1833   -0.44972   0.05155  -0.43931  -0.82271   0.081045 -0.71897
  0.21487  -0.28266   0.6478    0.41578  -0.31927   0.23259   0.30094
 -0.1069    0.42744  -0.25764  -0.18509  -0.27131   0.31026  -0.13185
  0.099992 -0.56551   0.72334   0.81993   0.14896  -0.78559   0.78602
 -0.054846 -0.063587 -0.1245    0.84355  -0.31359   0.84965   0.14244
 -0.40503  -0.33888   0.16455   0.21105   0.21816  -0.61689  -1.2372
 -0.020642  0.69099   0.56353  -0.20892  -0.31665  -0.037289  0.20985
  0.45769   0.35187  -0.37588   0.050303  0.22482  -0.34704   0.13104
  0.18974   0.75241   0.25654  -0.23155  -0.51193   0.52672   0.46703
  0.13942  -0.43914  -0.32015   0.62279  -0.40987  -0.97906  -0.53872
 -0.28113   0.36872 ]"
2397,macross,"[-0.022063  -1.0873     0.97957    1.1184    -0.32033   -0.20843
  0.043638   0.44392   -0.49088    0.77321   -0.22969   -0.57252
 -0.82897    0.17482    0.46746   -0.41807   -0.087787  -0.18699
 -0.039374   0.63133    1.1719    -0.89598   -0.42153    0.20357
  0.65895    0.39752    0.89335    0.56739    0.1808     0.26469
  0.3494    -0.80124   -0.22127    0.50375    0.66769    0.2737
 -0.24226   -0.26953    0.703     -0.50437    0.99865   -0.35463
 -0.098378   1.1757     0.2018     0.37301   -0.56981    1.0038
  0.59619    1.6617    -0.70597    0.59494    0.30571    0.15341
  0.082927  -0.10037   -0.021485  -0.62959   -0.38081    0.18956
 -0.73133    0.030394  -1.4037    -0.021229   0.49174   -0.2526
 -0.53821    0.3797    -0.65178   -0.14527    0.19995   -0.56236
  0.0054071  1.1441     0.020235  -0.12228    0.43143    1.0578
 -0.42295    0.76554   -0.51971   -0.06281   -0.073227   0.14918
  0.4421     1.3518    -1.3528    -1.2934     0.27449    0.76269
  0.17587    0.36982    0.67867   -1.1033     0.39009   -0.57149
  0.26163    0.65183   -0.44752    0.78297  ]"
2398,humerus,"[-0.1739    0.17105  -0.21217  -0.11379  -0.50088   0.19609   0.35491
  0.028326 -0.13954   0.038637 -0.16953   0.38279   1.4643   -0.073465
  0.10769   0.48991  -0.53808  -0.31507   0.42137  -0.32875   0.87198
  0.23277  -0.78779  -0.20444   1.0103    0.64174  -0.69097   0.42456
  0.10882   0.048387  0.53287   0.050522  0.23901  -0.2441    0.12997
 -0.21896   0.62217  -0.58108  -0.011781  0.29147   0.30639   0.27575
  0.24522   0.49418  -1.278    -0.081361  0.35095   0.10541  -0.15589
  1.0242    0.79917   0.53792  -0.10562  -0.77237  -0.11693   0.023029
 -0.66077  -0.97833  -0.20709   0.54909   0.44482  -0.094303  0.08613
  0.93507   0.2481    0.28666   0.16218  -0.32505   0.088404 -0.43498
  0.091804  0.91955   0.11557   0.23254   0.66275  -0.79671  -1.6918
  0.1826    0.17803  -0.66529  -0.95982   0.95746  -0.39019  -0.1361
  0.071417  0.45164   0.83609  -0.049697  0.49545   0.15889  -0.26892
 -0.22593   0.4857    0.23285   0.57621   0.052253  0.20568  -0.30777
  0.80386  -0.1814  ]"
2399,quantifiable,"[-0.41078    0.4605    -0.25205    0.26841   -0.09329   -0.52832
 -0.24586   -0.35107    0.49886    0.44099    0.52493    0.079079
 -0.17884   -0.33413    0.8623     0.57407    0.19031    0.98151
  0.31464    0.29652    0.20124   -0.113     -0.080911   0.024485
 -0.78753    0.15001    0.2416    -0.089411  -0.69219   -0.65088
 -0.10171   -0.89011   -0.26011   -0.032242   0.22865   -0.41063
 -0.34099   -0.34051   -0.60935    0.44261    0.45362    0.3205
  0.10781    0.62595   -0.5822     0.21395    0.99622    0.017397
 -1.1213     0.04261    0.28267    0.13315    0.088317  -0.03121
  0.2492     0.3959     0.88493   -0.031666  -0.1285    -0.99549
  0.13177   -0.074014  -0.77114   -0.0095152 -0.082928  -0.3929
 -0.22425    0.23356    0.33527   -0.75992   -0.60598   -0.69802
  0.32118    0.025956   0.43603   -0.06111    0.17534   -1.1949
  0.13299   -0.15649   -0.08043   -0.084975  -0.25436   -0.31719
 -0.62676   -0.29476    0.53024    0.33159   -0.54114   -0.26118
 -0.17052    0.0019865 -0.26408    0.21578   -0.047742   0.23618
 -0.014097  -0.6209     0.016516   0.57892  ]"
2400,diamondback,"[ 0.13846    0.47671    0.87449   -0.46596    0.031989   0.28274
  0.15002   -0.51827   -0.78459   -0.33467   -0.41896    0.42355
  0.58145    0.018487   0.098922  -0.1448    -0.28703   -0.73855
  0.026545  -0.70528   -0.16047   -0.1806    -0.88557    0.44366
 -0.18542    0.76589    0.44093   -0.31806    0.029636   0.014518
 -0.48975    0.3944    -0.22526    0.49197    0.018121  -0.094323
 -0.82667   -0.12199    0.79262   -0.2563     0.14893    0.24092
  0.06865    0.14197   -0.46702   -0.10618    0.6593     0.132
  0.17319    0.95962   -1.1447     0.45468   -0.2133    -0.43763
  0.32043    0.58946    0.3829    -0.57106   -0.12701    0.14846
 -0.22346   -0.40699   -0.71377    0.17615    0.19635   -0.59711
 -0.16031    0.27363    0.37392    0.23823   -0.24308   -0.51208
  0.68244    0.1925    -0.67248    0.14918    0.62072    0.25868
 -0.18276   -0.10749   -0.094401   0.23423   -0.29226    0.35987
  1.1264    -0.0081658  0.17036   -0.34441    0.055766  -0.4168
  0.2072    -0.099465   0.19045   -0.48733   -0.34146    0.031616
 -0.29696    0.43074    0.35066    0.44207  ]"
2401,lga,"[-0.34165   -0.071112   0.63576   -0.25445   -0.4386     0.60245
 -0.50164    0.2317     0.020789   0.19953    0.275     -0.95714
  1.0292    -0.28125    0.61387   -0.12441   -0.14995    0.145
  0.62509   -0.5817    -0.70889   -0.17597    1.1698     1.2474
 -1.0584    -0.2814     0.1848     0.56138   -0.77087   -0.53457
  0.52168    0.6212     0.13736   -0.088328  -0.52359    0.17576
 -0.8671     0.96056    0.25235   -1.1896     0.26892   -0.036234
  0.48449    0.42133   -0.2381     0.49899    0.42146    0.23074
 -0.31477    1.0684    -0.03333   -0.24423    0.41377   -0.14126
  0.040838  -0.025069   0.24855   -1.5676    -1.0383    -0.20256
 -0.047562  -0.43463    1.0292     0.37348    0.20695    0.17393
 -0.66892   -0.50502    1.0406    -0.65299    0.02892    0.038395
  0.6447    -0.84002    1.0328    -1.2515     0.49665    0.97513
 -0.4393     0.26342   -0.8996    -0.68633    0.27626    0.028046
  0.30022    0.54012    0.68244   -0.080602   0.5471     0.44774
  0.56524    1.3915    -0.69051   -0.82275   -0.18584   -0.49378
  0.59874   -0.0062598  0.44382   -0.13241  ]"
2402,boardings,"[ 0.49539   -0.67439   -0.55881   -0.53655   -0.075167  -0.49459
  0.3762     1.6275     0.27054    0.40182    0.13536   -0.81517
  0.69278    0.19955   -0.71789   -0.44719   -0.24865   -0.15477
  0.59426    0.15875    0.52883   -0.23406   -0.77834   -0.53649
  0.72955   -0.61606    0.76482    0.007928  -0.66982   -0.75096
  0.38107    0.19959    0.83984    1.0103    -0.11079    0.58434
 -0.8134     0.11331    0.65621    0.95711   -0.35978   -0.50555
 -0.10947    1.0282    -0.15925   -0.63401    0.70693   -1.563
  0.30084   -0.32696    1.2354     0.29074    0.8064     0.31041
  0.13179    0.72232    0.68298    0.10036    0.38716   -0.36117
  0.33748   -0.0766    -0.34761    0.25977   -0.50249    0.13352
 -0.35486   -1.625      1.3699    -0.36386   -0.58759   -0.43419
  0.56419    0.06612   -0.44785    0.93333    0.36322    0.025447
 -0.22077   -0.14055   -0.97008   -0.49199    0.85982    0.62529
  0.02895   -0.12729    0.29862    0.29707   -0.33208    0.030457
 -0.0097346  0.63607    0.046636  -0.48422    0.61378   -0.28685
 -0.099599   0.72362   -0.23247   -0.83539  ]"
2403,tandon,"[-0.65118   -0.76231    0.46914   -0.55625   -0.14048   -0.55658
 -0.39023    0.61154    0.12081    0.16964   -0.32854   -0.40802
 -0.11234   -0.06853    0.63521    0.45935    0.39357   -0.0037409
  0.58388   -0.1659    -0.25616   -0.58442    0.3963    -0.056993
 -0.1117     0.52374    0.011641   0.82424    0.56205   -0.054744
  0.58358    0.13316   -0.81574   -0.0099332  0.59809   -0.3824
  0.52688    0.36782   -0.31747    1.1989     0.32747    0.80542
 -0.30086    0.50861   -0.45241   -0.10641    0.028303   0.42777
 -0.045654   0.052445   0.09673   -0.52125    0.1329    -0.44675
 -0.14461   -0.085527  -1.0227     0.65342   -0.9887    -1.0266
  0.34978   -0.3616    -0.061454   0.29531   -0.11686    0.38134
  0.45814   -0.28619    0.80391    0.0020154 -0.59067   -0.62634
 -0.54434   -0.31649   -0.45153    0.27847   -0.34582   -0.014592
 -0.068155   0.18392    0.24923    0.095796   0.88667   -0.16345
  0.074314   0.94881    0.070677   0.079852  -0.2526    -0.20007
 -0.054682  -0.62003    0.26823   -0.10508    0.42524    0.40934
 -0.088605   0.60687   -1.136      0.083536 ]"
2404,blida,"[-5.6584e-01  4.6030e-02  6.4639e-01  8.2980e-01 -2.9328e-01  7.8973e-01
 -6.1874e-02  5.0595e-01 -3.7184e-01  4.7928e-01  7.3968e-01  3.6567e-01
  5.2731e-02  7.4974e-01  1.5910e-01  2.0159e-01  3.4393e-01 -5.4945e-01
  7.9453e-02  1.0122e-02  9.6383e-01 -3.4825e-01  6.8372e-01  2.3550e-01
 -4.3260e-01  2.6433e-01  1.3988e-01 -3.2960e-01 -4.9728e-01 -2.1235e-02
  4.9478e-02 -1.1147e+00  2.0171e-01  5.2701e-01  1.0925e-01  4.5872e-02
  4.3230e-01  1.3153e-01  6.3299e-01 -1.0192e-01  2.3898e-01 -2.1360e-04
  4.4898e-01  3.7440e-01 -3.3666e-01 -6.5136e-02  9.3703e-01  1.0360e-01
 -4.3585e-01  3.1131e-01 -7.9387e-01  3.6059e-01 -2.6945e-01  1.0642e-01
 -4.1696e-01  1.6614e-01 -5.9803e-01 -1.6830e+00 -7.5411e-01  5.1823e-01
  4.5773e-01  3.6632e-01 -6.5385e-01 -7.1372e-01 -7.0937e-01  2.0256e-01
 -5.6147e-01 -2.2469e-01 -1.0919e-02  7.4930e-01 -1.9129e-02  3.9953e-01
  4.4605e-01  3.4939e-01 -1.8557e-01 -7.9789e-01  8.2850e-01  2.4726e-01
  4.7922e-01  1.6209e-01  2.2438e-01  3.3398e-01 -1.7475e-01 -4.7181e-01
  3.8423e-01  5.9522e-01 -2.7389e-01  8.0195e-01  4.1914e-01 -3.6362e-01
  1.2064e+00  4.8319e-01  2.1092e-01 -4.4616e-01 -7.7161e-02  9.5177e-01
  4.3361e-01  3.1559e-01  2.0810e-01  3.7287e-01]"
2405,oberleutnant,"[-1.5074e+00 -8.8633e-02 -5.5124e-01  5.1959e-01 -7.3066e-01 -5.3981e-01
 -6.2679e-01 -1.3087e+00 -2.5529e-01 -1.3007e-01  1.4914e+00  9.6686e-02
  4.0556e-01 -6.3809e-01  1.2050e+00  6.8668e-01  9.6181e-01 -5.6483e-01
 -5.8825e-01 -4.7681e-01  1.7792e-01 -5.0614e-01 -1.2132e+00 -3.3652e-01
  2.2156e-01 -1.2049e+00  1.7159e-01  9.9379e-01  1.2506e+00 -5.9123e-01
 -8.8155e-01 -6.3291e-02 -1.2577e-01 -2.8366e-01 -4.4424e-01  8.3475e-01
 -5.8194e-01  3.8502e-01 -1.4490e-01 -9.7103e-01  7.5396e-01  1.4405e-01
 -1.4757e-04  5.2405e-03  1.9472e-01  1.3960e-01 -8.8674e-01 -1.0261e-01
 -4.5212e-01 -6.3770e-01 -4.3279e-02 -5.0518e-01 -3.8615e-01  2.7455e-01
 -3.5069e-01 -1.5990e-01  8.6627e-01  4.4097e-01  9.1369e-02 -5.1960e-01
  3.4298e-02  1.0382e+00 -9.1802e-01 -3.8711e-01 -2.1500e-01 -5.3053e-01
 -5.9754e-01  4.5775e-01 -1.7573e-01  6.1825e-01  6.8296e-01 -2.3101e-01
  4.5127e-01  6.0168e-01 -6.4717e-01  4.7872e-01 -2.2128e-01  6.0379e-01
  5.2563e-01 -4.2392e-02  4.3381e-01  2.9782e-01 -9.7993e-01  4.0460e-01
  1.0946e+00 -9.2561e-01 -2.2443e-01 -2.1614e-01  6.2222e-01 -4.6036e-01
  4.7184e-04 -5.5355e-01  7.4532e-01  4.3278e-01  1.6678e+00 -6.8383e-02
 -2.4840e-01 -4.8843e-01 -2.1809e+00 -1.4871e+00]"
2406,contravenes,"[-0.24236   -0.025425   0.18084   -0.23472    0.44647    0.37105
 -0.48946    0.36637    0.58788    0.46764    0.15529    0.4981
  0.33364   -0.23374   -0.37153    0.83245   -0.02554    0.37554
 -0.46912   -0.16238   -0.16279   -0.16167    0.64305   -0.34083
  0.75815   -0.080569  -0.35186   -0.72229   -0.54723   -0.49484
 -0.080769   0.91012    0.32711    0.096855  -0.13967    0.41462
  0.31744   -0.22237   -0.67113    0.069504  -0.43183    0.92824
  0.60654    0.37384   -0.17392    0.028352  -0.048565   0.55171
 -0.44137    0.086775   0.48888    0.72459    0.022484  -0.61
 -0.5874     0.55004    0.83436   -0.08797    0.053531  -0.56729
 -0.52766   -0.44899   -0.067181  -0.28579   -0.30629    0.31189
 -0.26545    0.084697   0.033355  -0.66575   -0.33191   -0.43047
  0.54334    0.50172    0.48277   -0.31974    0.020141  -0.2947
 -0.72523   -0.03851   -0.13223    0.32143   -0.18993    0.94381
  0.10578    0.0065582  0.019232  -0.34786    0.66225    0.3988
 -0.84445   -0.40537   -0.23283   -0.045787   1.1793     0.37052
  0.15608   -0.27325   -0.11497    0.51007  ]"
2407,eco-friendly,"[-3.5204e-01  3.5720e-01 -4.1579e-01 -1.2980e-01  2.5852e-01 -3.0407e-01
  1.4456e-01 -2.9021e-03  1.5750e-01  1.2980e+00 -2.3898e-01 -6.3904e-01
  6.0886e-02 -4.1141e-01  4.3003e-01 -1.0819e-01  3.8790e-01  6.5942e-01
  2.2465e-01 -1.3927e-01 -2.6481e-02 -6.3870e-04  6.0036e-03  7.8093e-03
 -3.5130e-01  1.5153e-01  1.8469e-01  2.0581e-01 -1.1796e+00  3.3456e-01
 -7.4380e-01  1.8937e-01 -3.5458e-01  3.8638e-01  2.1218e-01  1.2469e-01
 -8.8692e-01 -1.8622e-02 -2.9009e-01 -1.4111e-01  1.6246e-01  3.2531e-01
  4.7594e-02  3.8400e-01  1.1985e-02  1.5662e-01 -2.9273e-01  4.8152e-01
 -2.0029e-02  1.3085e-01 -1.6636e-01 -2.9917e-02  1.9333e-02 -2.9435e-01
 -3.5322e-01  5.9238e-02  5.7014e-01  2.4480e-01 -1.2574e-01 -9.2541e-01
 -2.7147e-01 -5.0940e-01 -6.5004e-02  6.1399e-01  2.9372e-01 -4.3361e-01
  3.4709e-01 -8.0062e-01  2.9838e-01 -1.1366e+00 -2.0268e-01 -2.4361e-01
  1.6555e-01 -3.0978e-01 -2.2167e-02  9.7270e-02  3.6239e-01  7.6759e-02
  1.6268e-01 -7.6376e-01 -4.2970e-01  4.8864e-01  1.9232e-01  7.9843e-01
  4.2306e-01  2.0403e-01  2.3590e-01 -1.2399e-01 -3.9622e-01  8.9250e-03
  1.5218e-01 -2.9553e-01  1.7662e-01 -5.1077e-01  1.4206e-01 -6.4905e-01
 -5.7947e-01 -1.3136e-01  5.7910e-01  1.1626e-01]"
2408,placencia,"[-0.24921   -0.75065   -0.01241    0.43581    0.61744    0.23113
 -0.17511   -0.28086    0.96386    0.056747   0.13893   -0.23267
 -0.079715   0.086585   0.76845   -0.32932   -0.27661    0.64659
 -0.019537   0.59749    0.36362    0.68443   -0.69787    0.04387
 -0.36734   -0.047015  -0.66073    0.1113    -0.19531   -0.54453
  0.44534   -1.0074    -0.10818    0.078045   0.38798   -0.57867
  0.27483    0.67686   -0.16917   -0.36989   -0.41269    0.41642
  0.36538    0.66834   -0.48937    1.2821    -0.30822   -0.22938
  0.26646    0.40582   -0.87419    0.068779  -0.005868  -0.04938
 -0.16606    0.66401    0.13103   -0.34365   -0.039875  -0.79321
 -0.14026   -0.59639   -0.11012   -1.2245    -1.4107     0.31458
  0.29407    0.094349  -1.1245    -0.14058   -0.20158   -0.50036
  0.72089   -0.18351   -0.13326   -0.77435    0.56455   -0.80753
  0.55859    0.34615   -0.19286    0.29503    1.0331    -0.77739
  0.4233     0.48668   -0.61092   -0.018779   0.34447    0.23612
  0.51803    0.088841  -0.13633    0.77288   -0.28692   -0.30506
  0.0069317 -0.98631   -0.30025   -0.40089  ]"
2409,oberhausen,"[-0.35341   -0.6413    -0.3104    -0.26082    0.73479   -0.47995
 -0.18371   -0.33011    0.061109   0.0051643 -0.08847   -0.33828
 -0.58073    0.13383    0.71505    0.41372    0.11603   -1.0853
  0.13992   -0.13544    0.76976    0.48124    0.067477   0.84859
  0.32905    0.41544   -0.24245    0.29226    0.027809   0.34409
 -0.98743    0.35145   -0.3426     0.21686   -0.17158    0.12503
  0.42078    0.19476   -0.50201   -0.46386    0.3907    -0.12173
 -0.98858    0.17288    0.53089   -0.53329    0.95041   -0.32362
  0.050849   1.3482    -0.19561   -0.56649   -0.14468    0.36457
 -0.68454    0.51749    0.38623   -0.46238   -0.26863   -0.59594
  0.3401     0.50605    0.022608  -0.46618    0.23558   -0.13973
 -0.15596    0.1817    -0.66684   -0.31242   -0.80171   -0.6884
  0.30409    0.343     -0.69439   -0.095952   0.75385   -0.17466
  0.16484   -0.19862   -0.90275    0.29482   -0.64747    1.0044
 -0.11499   -0.14294   -0.6616     0.18148    0.64033    0.68082
  0.08976   -0.30582    0.5407     0.019858   1.2867     0.11773
  0.17495    1.5845     0.46394    0.27197  ]"
2410,7.07,"[ 0.89865   -0.057479   0.19342    0.45874   -0.18152   -0.051078
  0.30317   -0.060305   0.30773    0.11621    0.26079    0.53863
 -1.2913    -0.038972   0.73366    0.29361   -0.77407   -0.38087
 -0.0073114  0.26226    0.016531   0.26086   -0.14646    0.49693
  1.056     -0.32178    0.39742    0.14376    0.38566   -0.13669
  0.1979    -0.49857   -0.19124    0.086147  -0.06929    0.83116
  0.022348  -0.37504   -0.18747    0.46741    0.31914   -0.14929
 -0.80765    0.031143  -0.48951    0.15913   -0.71939    0.30696
  0.076916  -1.0739    -0.32819   -0.44572    0.99431    0.16303
 -0.39689    0.80263    0.1884    -0.2519     0.18175    0.03924
 -0.0054848 -0.95732    0.10801    0.11332   -0.53066    0.39421
 -0.3042     0.069052   0.61773   -0.07626   -0.46172    0.52781
 -0.46628    0.21374   -0.70868    0.19918   -0.4463     0.038323
 -0.26765   -0.10017   -0.63417    0.60424   -0.58483    0.059623
  0.56081    0.97777    0.67593    0.61458   -0.23138    0.31398
 -0.31169    0.84187   -0.16496   -0.029635  -0.23278   -0.34383
 -0.56812   -0.49813   -0.29104    0.037514 ]"
2411,97.6,"[ 0.44159    0.50638    0.19128   -0.16381   -0.1384     0.7787
  0.19234   -0.27458    0.24121   -0.32505    0.63916    0.18987
 -0.5323    -0.17332    0.76281   -0.35126    0.64931   -0.28861
  0.0074996  0.031455  -0.28195   -0.56454    0.36354   -0.26068
  0.17179   -0.6042     0.50506    0.48606   -0.9694    -0.69783
 -0.38967   -1.0027     0.67965    0.44766   -0.62833    0.73644
 -0.092383  -0.39063    0.68526    0.38871   -0.71411    0.17629
 -0.62783    0.33168   -0.091683   0.061444   0.69319   -0.15721
 -0.55216   -0.78124    0.18286   -0.14521   -0.44174    0.87147
  0.36335    0.53477   -0.075842  -0.44771   -0.46114   -1.068
  0.80884   -0.70628   -1.7147     0.44409   -1.0483     0.23351
  0.78464   -0.77089   -0.059982   0.043585   0.20502    0.11217
 -0.99379    0.68436    0.0338     0.48954   -0.35974   -0.11929
 -0.8239    -0.80873   -1.2878    -0.56905    0.17873    1.0034
  0.63105    0.29987    0.74016    0.19584    0.85646    0.30708
  0.045957   0.060774  -0.14236   -0.45776   -0.43596    0.21007
 -1.3758     0.833      0.27948   -0.099802 ]"
2412,soltan,"[ 0.65976  -0.48106  -0.5792    0.47456   0.95811   0.08514  -0.48675
 -0.27722   1.0433   -0.021428 -0.30977   0.61599   0.23487  -0.60122
  0.61546   0.29656  -0.63155   0.17182   0.31094  -0.53438   0.34485
 -0.62849  -0.013673  0.65249   0.30416   0.60297  -0.56802  -0.2819
  0.57917   0.56197  -0.08679  -0.20585   0.002458  0.6091    0.22727
 -1.3788   -0.26651   0.96849   0.2394   -0.60175  -0.321    -0.034719
  0.028681 -0.049681 -0.13559   0.55691  -0.3006    0.59372   0.26115
  1.0869   -0.047336 -0.3982    0.11493   0.92427  -0.24251   0.54551
  0.13433  -0.1231   -0.50032   0.30274   0.43256  -0.037272  0.54729
  0.80316  -0.47981   0.18551   0.85331  -0.29136  -0.72924  -0.70348
  0.69492  -0.027253 -0.17409   0.69801  -0.63622   0.49659   1.2275
 -0.27499   0.26721  -0.27668   0.88632  -0.18939   0.4106   -0.85134
 -0.93776  -0.30437   0.31195   0.34682  -0.2198    0.40519   0.21911
  1.1979    0.69415  -0.32312  -0.066844  0.071584  0.2323   -0.65436
 -0.67372  -0.74318 ]"
